,output,input
73,0,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [1, 0, 0]]"
74,8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, 0]]"
75,0,"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 1, 0], [1, 1, 1], [1, 1, 0], [1, 0, 0]]"
76,7,"[[1, 0, 0], [0, 0, 0], [0, 0, 1], [0, 0, 1], [0, 0, 0], [1, 0, 0], [0, 1, 0], [1, 1, 1], [0, 1, 0], [1, 0, 0]]"
77,7,"[[1, 0, 0], [0, 0, 0], [0, 1, 1], [0, 0, 1], [0, 0, 1], [1, 0, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [0, 0, 0]]"
78,3,"[[1, 0, 0], [0, 0, 0], [0, 1, 1], [0, 0, 1], [0, 0, 1], [1, 0, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [1, 0, 0]]"
79,0,"[[1, 0, 0], [1, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 1], [1, 1, 0], [0, 1, 1], [0, 1, 0], [0, 0, 0], [0, 0, 0]]"
80,2,"[[1, 0, 0], [1, 0, 0], [0, 0, 1], [0, 0, 0], [0, 0, 1], [1, 1, 0], [0, 1, 1], [0, 1, 0], [0, 0, 0], [1, 0, 0]]"
81,3,"[[0, 0, 1], [1, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 0], [1, 1, 0], [0, 1, 0], [0, 1, 1], [0, 0, 0], [0, 0, 0]]"
82,5,"[[0, 0, 1], [1, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 0], [1, 1, 0], [0, 1, 0], [0, 1, 1], [0, 0, 0], [1, 0, 0]]"
83,8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, 0]]"
84,0,"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 1, 0], [1, 1, 1], [1, 1, 0], [1, 0, 0]]"
85,6,"[[1, 0, 0], [0, 0, 0], [0, 0, 1], [0, 0, 1], [1, 0, 0], [0, 0, 0], [0, 1, 0], [0, 1, 1], [1, 1, 0], [1, 0, 0]]"
86,8,"[[1, 0, 0], [0, 0, 0], [1, 0, 1], [0, 0, 1], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 1, 1], [0, 0, 0], [0, 0, 0]]"
